Index,Date,Time,Counter,FbLoad,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Strain Vol [-],Gemidd
0,44713.67447,0,58920718,-0.984716,0.114427,-0.931335,-0.926981,21.991413,0.144211,0.161675,0.045915,0.00045915,-0.012202,0.033976,0.00033976,-0.929158
1,44713.67447,0.242037,58920718,-0.965716,0.135856,-0.930485,-0.927244,21.991487,0.145778,0.188323,0.047247,0.00047247,-0.011927,0.034861,0.00034861,-0.928166
2,44713.67448,0.492037,58920718,-0.978834,0.117583,-0.931387,-0.927211,21.991118,0.144165,0.133533,0.045268,0.00045268,-0.012202,0.033066,0.00033066,-0.929752
3,44713.67448,0.742037,58920718,-0.977361,0.154308,-0.929723,-0.926587,21.991487,0.146888,0.181291,0.046797,0.00046797,-0.012294,0.034411,0.00034411,-0.928321
4,44713.67448,0.992037,58920719,-0.971279,0.093926,-0.931894,-0.928066,21.991118,0.143235,0.128509,0.045238,0.00045238,-0.011835,0.033216,0.00033216,-0.929627
5,44713.67449,1.242037,58920719,-1.003777,0.120239,-0.931102,-0.927047,21.991487,0.144561,0.163254,0.04592,0.0004592,-0.012202,0.033625,0.00033625,-0.9291
6,44713.67449,1.492037,58920719,-0.965321,0.098706,-0.931986,-0.92777,21.991118,0.143104,0.171991,0.046031,0.00046031,-0.012202,0.033828,0.00033828,-0.929664
7,44713.67449,1.742037,58920719,-0.987931,0.085152,-0.932443,-0.928,21.99134,0.142333,0.14738,0.045531,0.00045531,-0.011835,0.033568,0.00033568,-0.929715
8,44713.67449,1.992037,58920720,-0.979463,0.109145,-0.931482,-0.927178,21.991118,0.143993,0.163848,0.046043,0.00046043,-0.012202,0.033859,0.00033859,-0.92924
9,44713.6745,2.242037,58920720,-0.960401,0.111288,-0.931576,-0.927211,21.991413,0.143889,0.178944,0.046379,0.00046379,-0.012294,0.03421,0.0003421,-0.929195
10,44713.6745,2.492037,58920720,-0.962722,0.126168,-0.931097,-0.927113,21.991045,0.1447,0.166382,0.046171,0.00046171,-0.011927,0.034244,0.00034244,-0.929164
11,44713.6745,2.742037,58920720,-0.956625,0.095907,-0.931998,-0.928066,21.991413,0.143074,0.179729,0.046321,0.00046321,-0.012202,0.034247,0.00034247,-0.929383
12,44713.67451,2.992037,58920721,-0.966435,0.100264,-0.931827,-0.927573,21.991118,0.143364,0.154058,0.045808,0.00045808,-0.011835,0.033649,0.00033649,-0.929415
13,44713.67451,3.242037,58920721,-0.97965,0.104512,-0.931828,-0.927376,21.991413,0.143418,0.153534,0.045449,0.00045449,-0.012202,0.033246,0.00033246,-0.929953
14,44713.67451,3.492037,58920721,-0.975753,0.080209,-0.932645,-0.928165,21.991045,0.141935,0.159653,0.045519,0.00045519,-0.011835,0.033316,0.00033316,-0.930049
15,44713.67451,3.742037,58920721,-0.990829,0.122552,-0.931078,-0.927178,21.991487,0.144691,0.152334,0.045756,0.00045756,-0.011835,0.033554,0.00033554,-0.929014
